Flooring,ViewYN,PoolPrivateYN,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,DaysOnMarket,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,Dataset
131.0,0,0,1134568254,2025-11-03,1650000.0,37.68971232,-121.86731148,1845.0,8,1134568254,894.0,0.0,1,2.0,1996.0,3.0,622.0,4.0,1.0,1,2.0,12.0,0.0,0,2.0,277.0,1122.0,0.0,3728.0,Train
224.0,1,0,1136918672,2025-11-03,663000.0,33.787753,-118.197839,1158.0,6,1136918672,183.0,18.0,0,2.0,1940.0,1.0,437.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,187.0,160.0,0.0,3650.0,Train
134.0,1,0,1136899700,2025-11-03,1155000.0,35.26903,-120.646514,1772.0,8,1136899700,844.0,41.0,1,4.0,1953.0,2.0,705.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,311.0,693.0,0.0,8550.0,Train
220.0,1,0,1136874799,2025-11-03,1367000.0,33.876846,-117.832754,2240.0,5,1136874799,290.0,29.0,1,2.0,1994.0,3.0,616.0,4.0,1.0,1,2.0,12.0,1.0,0,2.0,273.0,609.0,0.0,5940.0,Train
134.0,1,0,1111733384,2025-11-03,8500000.0,33.611193,-117.896673,3922.0,185,1111733384,725.0,29.0,1,2.0,1979.0,4.0,531.0,5.0,1.0,1,2.0,12.0,1.0,0,2.0,233.0,557.0,512.0,5000.0,Train
221.0,1,0,1134541464,2025-11-03,455000.0,35.12101,-120.61757,532.0,26,1134541464,597.0,41.0,0,0.0,1946.0,1.0,301.0,2.0,1.0,0,1.0,2.0,2.0,0,0.0,196.0,704.0,0.0,6700.0,Train
131.0,0,0,1136314567,2025-11-03,1730000.0,33.685564,-117.802185,1946.0,30,1136314567,944.0,29.0,1,2.0,1976.0,3.0,344.0,4.0,1.0,1,2.0,12.0,0.0,0,2.0,148.0,534.0,147.0,4861.0,Train
221.0,1,1,1112011706,2025-11-03,430000.0,34.476015000000004,-117.365136,1760.0,168,1112011706,929.0,37.0,1,2.0,1990.0,3.0,838.0,3.0,1.0,1,2.0,12.0,0.0,0,2.0,3.0,475.0,0.0,5000.0,Train
86.0,0,0,1138328348,2025-11-03,1325000.0,33.7821,-118.04426200000002,2197.0,0,1138328348,191.0,29.0,1,2.0,1970.0,3.0,439.0,3.0,1.0,1,2.0,12.0,0.0,0,2.0,188.0,141.0,490.0,2590.0,Train
221.0,0,0,1138326013,2025-11-03,750000.0,32.834065,-116.978509,1125.0,0,1138326013,354.0,38.0,1,2.0,1971.0,2.0,732.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,326.0,352.0,0.0,7841.0,Train
